Symbol,Year,Target_Fraud,fraud_score,risk_level,pred_onto,f_accrual,f_noncore,f_shell,f_pump,f_rec,f_cash,f_lev,f_triangle,f_inv_anomaly,accrual_ratio,noncore_ratio,shell_ratio,rec_manip_ratio,cash_crunch_ratio,leverage_ratio,Delta_Gross_Margin,Delta_Leverage,Delta_Inv,Delta_Rev,Leverage,Rev,COGS,Gross_Profit,Selling_Exp,Admin_Exp,Net_Profit,ST_Assets,Rec,Inv,Fixed_Assets,Total_Assets,ST_Debt,LT_Debt,Total_Liabilities,n_1.owners_capital,Owners_Equity,depreciation_of_fixed_assets_and_properties_investment,Operating_Cash_Flow,Short_Term_Ratio
KTB,2013,1,3.15,HighRisk,1,0,0,0,0,1,0,0,0,1,-0.0198606772845034,,0.6001175978888639,0.4532743270495809,0.1801917634053537,0.3665669071834683,0.0811289454993434,0.1580711780914908,0.6920157290933208,-0.3591625239319373,0.3665669071834683,50162962.0,44138305.0,6024657.0,,3141346.0,1749549.0,224413126.0,176309850.0,29831107.0,103066547.0,378035698.0,101404019.0,,101404019.0,268000000.0,276631679.0,3822617.0,9257594.0,2.21
KTB,2014,1,1.95,MediumRisk,0,1,0,0,0,0,0,0,0,0,0.1596740289041408,,0.6104293503005912,-1.8653261948562112,0.5486373513490156,0.3431089161949751,-0.0863983444680657,-0.0234579909884931,0.4156177308471992,2.503445131489644,0.3431089161949751,175743185.0,169820050.0,5923135.0,,3446256.0,3639577.0,409029350.0,288816504.0,42229444.0,96548712.0,556411419.0,142140162.0,,142140162.0,402000000.0,414271257.0,7467582.0,-85204876.0,2.88
LCG,2023,0,0.0,LowRisk,0,0,0,0,0,0,0,0,0,0,-0.1045604157289129,-0.7508452070246477,0.553891339062279,-0.9471298615339192,0.2471244660605095,1.3556557882942224,0.0138758731333667,0.4014054480715727,0.2398608194025017,0.9962901354695464,1.3556557882942224,2007948933.0,1722779558.0,285169376.0,0.0,107336396.0,101569790.0,4819620232.0,2539669748.0,1467488975.0,387393581.0,5979135351.0,3287661161.0,153270018.0,3440931179.0,1916411700.0,2538204173.0,108792442.0,726750668.0,1.47
LCG,2024,0,1.95,MediumRisk,0,1,0,0,0,0,0,0,0,0,0.1080820115986796,-0.5401374087191064,0.5126042429538038,-0.5681024650615016,0.1324846498728739,1.323275203845669,-0.0199603026887671,-0.0323805844485534,0.4007361983758685,0.4029884334712809,1.323275203845669,2817129128.0,2473270542.0,343858586.0,0.0,158344330.0,120453055.0,4607206287.0,2120334637.0,2055564928.0,447185434.0,6019865872.0,3255522224.0,173231816.0,3428754039.0,1950911700.0,2591111833.0,129034628.0,-530186158.0,1.42
LCG,2025,0,1.95,MediumRisk,0,0,0,0,0,1,0,0,0,0,-0.0861967755562954,-0.3301713962018451,0.5560857978110401,0.2608764471852099,0.2192328381616626,1.746398799272953,-0.0220523927583788,0.423123595427284,-0.065803271479051,0.0656400940809128,1.746398799272953,3002045749.0,2701818545.0,300227204.0,0.0,100128905.0,150430463.0,5757446789.0,2812658969.0,1920302031.0,389839537.0,7511873557.0,4673048972.0,103652418.0,4776701390.0,2086024670.0,2735172168.0,113326764.0,797929742.0,1.23
LDG,2023,1,3.7,HighRisk,1,0,0,0,1,1,0,0,0,0,-0.0586845260966295,-0.2867677634440255,0.8411914853413258,1.0781684018720334,0.0584372587903019,1.6771112675789384,2.788292132632022,0.2523918566113334,-0.1287491859844833,-1.1889975776240558,1.6771112675789384,-36509024.0,79475249.0,-115984274.0,11829483.0,248183881.0,-527174206.0,4861168137.0,3707633125.0,963214169.0,281466.0,7265457274.0,3256840703.0,1294699760.0,4551540463.0,2569725850.0,2713916811.0,8391570.0,-100804289.0,1.49
LTG,2021,0,0.0,LowRisk,0,0,0,0,0,0,0,0,0,0,0.0479296884819995,-0.7755621842532507,0.25746924154229,-0.4747647690796723,0.4302217127214184,1.5867332961176612,-0.0291504133478011,0.1473877853851852,-0.0533006004564736,0.3621664682787571,1.5867332961176612,10224140120.0,8261392065.0,1962748055.0,856157789.0,363835646.0,418320815.0,6012889078.0,1605012231.0,2367506096.0,1418076234.0,7846076428.0,4742602920.0,70274670.0,4812877590.0,805933400.0,3033198838.0,187963040.0,42260816.0,1.27
LTG,2022,0,3.9,HighRisk,1,1,0,0,0,1,0,0,0,0,0.0719207874477076,-1.1031343316163476,0.4663204831094317,0.7912043442065887,0.1924843622542064,1.7697322342153798,-0.0081897302350698,0.1829989380977186,-0.1075800693524381,0.1434326417466978,1.7697322342153798,11690615547.0,9542088341.0,2148527206.0,885149369.0,397634674.0,411644254.0,6270998830.0,3105116025.0,2112809626.0,1493827570.0,8731289524.0,5470954454.0,107940259.0,5578894712.0,805933400.0,3152394811.0,217352533.0,-216316964.0,1.15
LTG,2023,1,3.9,HighRisk,1,1,0,0,0,1,0,0,0,0,0.2580019271868504,-10.0,0.639029516539529,0.7613089042680221,0.0890193022635204,2.7377219236285675,-0.0299179113513631,0.9679896894131876,-0.0678566384948872,0.3761523707901298,2.7377219236285675,16088068301.0,13612688894.0,2475379407.0,977809077.0,641107311.0,16493206.0,9346408853.0,6637065258.0,1969441467.0,1430269880.0,11468011000.0,8311704419.0,88124615.0,8399829034.0,1007414650.0,3068181966.0,238834777.0,-2942275733.0,1.12
MCH,2023,0,0.0,LowRisk,0,0,0,0,0,0,0,0,0,0,0.023144819878761,0.0658255031327799,0.5441781004305677,-0.3819000774391153,0.783323832268381,0.5375101115894151,0.0467905200561083,0.0442742176821484,-0.1292590390734968,0.0468438546415178,0.5375101115894151,28240992633.0,15266624295.0,12974368338.0,5328084293.0,925673676.0,7194170245.0,23921695274.0,10989266253.0,2178374333.0,5552374682.0,40552688935.0,13728746969.0,448382788.0,14177129757.0,7274618790.0,26375559178.0,655993278.0,6255585564.0,1.74
